/fields=id,latitude,longitude,date_time,cruise,aqua_filename,aqua_es_error,aqua_pixel_total,aqua_tdiff,aqua_solz,aqua_senz,aqua_cv,aqua_windspeed,aqua_rrs412,aqua_rrs443,aqua_rrs488,aqua_rrs531,aqua_rrs547,aqua_rrs555,aqua_rrs667,aqua_rrs678,insitu_rrs412,insitu_rrs443,insitu_rrs488,insitu_rrs531,insitu_rrs547,insitu_rrs555,insitu_rrs667,insitu_rrs678,insitu_data_source
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,unitless
/end_header
593289,20.82650200,-157.18719800,2014-10-23 22:31:22,moby256,A2014297002500.L2_LAC.R0000031840_13883_593289.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,6868,46.04,56.69,0.017,6.099,0.01160800,0.00873100,0.00596200,0.00220600,0.00165600,0.00136000,0.00007200,0.00006600,0.01057024,0.00770554,0.00529143,0.00172348,0.00117756,0.00106508,0.00007966,0.00008285,moby
593301,20.82459800,-157.19777800,2014-10-27 23:36:24,moby256,A2014301000000.L2_LAC.R0000031840_13883_593301.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,1499,43.12,21.23,0.010,4.772,0.01293900,0.00974800,0.00654300,0.00240900,0.00181900,0.00142700,0.00016700,0.00015500,0.01142263,0.00868602,0.00577218,0.00210362,0.00147717,0.00134448,0.00010738,0.00011287,moby
593319,20.80761500,-157.19130300,2014-11-05 22:31:28,moby256,A2014309235500.L2_LAC.R0000031840_13883_593319.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,5027,44.53,7.75,0.012,4.273,0.01200500,0.00889100,0.00605000,0.00222300,0.00165000,0.00131600,0.00012300,0.00013500,0.01116856,0.00829521,0.00574754,0.00205358,0.00144077,0.00131300,0.00011071,0.00011696,moby
593337,20.82581200,-157.19035800,2014-11-07 23:36:28,moby256,A2014311234000.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593337_B5.tgz,0.00000000,25,391,43.42,19.86,0.021,2.535,0.01317900,0.00958300,0.00635100,0.00238100,0.00177700,0.00143800,0.00015000,0.00013900,0.01199124,0.00883094,0.00603206,0.00210085,0.00148248,0.00135138,0.00010862,0.00011552,moby
593343,20.80889200,-157.19605500,2014-11-17 22:32:27,moby256,A2014322001500.L2_LAC.R0000031840_13883_593343.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,6436,50.46,50.30,0.019,7.486,0.00993200,0.00757000,0.00526500,0.00180300,0.00131600,0.00109700,0.00006000,0.00008700,0.01021637,0.00785259,0.00556178,0.00197056,0.00138665,0.00126393,0.00010154,0.00010954,moby
593349,20.80786200,-157.19303300,2014-11-19 22:31:34,moby256,A2014324000500.L2_LAC.R0000031840_13883_593349.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,5755,49.02,32.87,0.030,8.357,0.00941300,0.00749400,0.00540700,0.00200400,0.00148300,0.00122200,0.00014700,0.00015100,0.00986365,0.00777041,0.00534427,0.00198783,0.00140275,0.00127968,0.00010565,0.00011282,moby
593379,20.81089300,-157.18222800,2014-11-23 23:36:35,moby256,A2014327234000.L2_LAC.R0000031840_20N_20N_157W_157W.hdf_OCVAL.nc_13883_593379_B5.tgz,0.00000000,25,385,46.53,19.94,0.031,3.480,0.01118300,0.00835500,0.00588300,0.00226500,0.00170300,0.00143300,0.00014100,0.00012600,0.01052902,0.00814244,0.00572969,0.00221073,0.00157206,0.00143629,0.00012458,0.00013316,moby
593385,20.81493800,-157.20214800,2014-11-27 22:31:10,moby256,A2014331231500.L2_LAC.R0000031840_13883_593385.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2840,44.70,55.96,0.027,9.211,0.01044000,0.00792200,0.00544900,0.00194700,0.00142500,0.00114500,0.00010300,0.00012600,0.00992979,0.00763084,0.00551785,0.00199619,0.00140956,0.00128837,0.00010707,0.00011812,moby
593403,20.82389200,-157.18371700,2014-12-09 22:32:12,moby256,A2014343234000.L2_LAC.R0000031840_13883_593403.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,4242,48.02,20.22,0.020,0.720,0.01061100,0.00819900,0.00583200,0.00216700,0.00160500,0.00132500,0.00010700,0.00011900,0.01082539,0.00849695,0.00612151,0.00220004,0.00154849,0.00141294,0.00011998,0.00012730,moby
593409,20.81359300,-157.18051700,2014-12-12 23:37:13,moby256,A2014347001000.L2_LAC.R0000031840_13883_593409.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2181,51.58,42.36,0.017,4.231,0.01087800,0.00834600,0.00586400,0.00226800,0.00170700,0.00143100,0.00014200,0.00015300,0.01048150,0.00819943,0.00578012,0.00221707,0.00156747,0.00143131,0.00012204,0.00013083,moby
593415,20.81615800,-157.19845000,2014-12-14 22:32:13,moby256,A2014349000000.L2_LAC.R0000031840_13883_593415.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,5345,50.07,20.73,0.020,10.623,0.01081900,0.00851600,0.00614800,0.00248900,0.00188700,0.00156300,0.00025600,0.00026900,0.00940402,0.00755437,0.00547302,0.00218269,0.00156720,0.00143753,0.00018887,0.00020259,moby
